	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000141569.11	342.843198877938	0.0730435109702563	0.158151244406617	0.461858591402901	0.644182730565785	0.831483770943697
ENSG00000141570.10	154.009309815272	0.326627876635395	0.194622485866856	1.67826382023938	0.0932956076938914	0.260766443819873
ENSG00000141574.7	640.106495850065	-0.788157280139861	0.115780747437779	-6.80732589469092	9.94295261385505e-12	2.95291460918155e-10
ENSG00000141576.15	230.91381267812	1.03965958984444	0.35015829956805	2.96911308721498	0.00298660661405605	0.0173715241847807
ENSG00000141577.13	189.610759506236	-0.0435460983474973	0.170080695937374	-0.256031985919974	0.797926139065678	0.913615874863158
ENSG00000141580.15	1960.11500097625	0.0274702551277261	0.114534222322162	0.239843206430107	0.810451810476631	0.920033367217503
ENSG00000141582.14	333.514782918588	0.0656001445503842	0.139852383229624	0.469067047950662	0.639021711824752	0.827765735616135
ENSG00000141622.13	1.94302111556361	-0.603545151552052	1.82982621826037	-0.329837415995627	0.741522814107484	NA
ENSG00000141627.13	1056.70515649764	-0.184602054148262	0.111195770243209	-1.66015356289629	0.0968835638025986	0.267621253990209
ENSG00000141642.8	129.632851847923	-0.32911797936507	0.213321324391547	-1.54282737698075	0.122872665094675	0.314877668865895
ENSG00000141644.17	1073.53582354116	-0.103149860276365	0.104392213851043	-0.988099173981972	0.323104080271393	0.577405348062952
ENSG00000141646.13	1540.94359289416	0.0431816698483904	0.113189411535079	0.381499199110227	0.70283286537459	0.863841731118501
ENSG00000141655.16	13.2161923728042	-0.781094821331331	0.721259804064043	-1.08295903491383	0.278826606393102	0.530575896222672
ENSG00000141664.9	325.478778281553	0.229415006007714	0.24621118914576	0.931781397927848	0.351449510036138	0.605815184781495
ENSG00000141665.12	30.151996958128	-0.225121170333437	0.43795680484011	-0.51402596750523	0.607233835595512	0.805952649496771
ENSG00000141682.11	90.2283923359816	0.000663304878895089	0.31897740982955	0.00207947289825175	0.998340821875649	0.999176753185832
ENSG00000141696.12	482.854022973528	-0.189997788765772	0.133538003002271	-1.42279938664756	0.154794319232629	0.367318227175101
ENSG00000141698.16	623.888023592603	-0.113699283401878	0.111494473218693	-1.01977506256171	0.307835152691246	0.561911486286538
ENSG00000141699.10	1086.5561206511	0.323378305144484	0.104757720364524	3.0869162102729	0.00202244595725764	0.012428795684447
ENSG00000141736.13	1889.13813174548	0.168588913630819	0.109080267976952	1.54554913329	0.122213494055789	0.313861358123016
ENSG00000141738.13	3.22676075882969	-0.298160216126033	1.26145819056552	-0.236361552333625	0.813152127805505	NA
ENSG00000141741.11	501.388809429127	0.325372037488677	0.123444184984819	2.63578262134172	0.00839434884849014	0.0412618846352466
ENSG00000141748.12	3.2600309425509	-0.237719603132995	1.14148786062148	-0.208254166630883	0.835030516737673	NA
ENSG00000141750.6	5.83511874981039	-0.27132210635282	0.865455855355542	-0.313501959312942	0.753899332350323	NA
ENSG00000141753.6	75215.0645252104	-0.229035464791019	0.0915602821338217	-2.50147181128459	0.0123678287786352	0.0560724049801359
ENSG00000141756.18	6205.81578246368	-0.108945386536904	0.069664024053148	-1.56386869718848	0.117848407092312	0.305937828774861
ENSG00000141759.14	500.078097680644	0.23613724258046	0.141423045541311	1.66972251005217	0.0949742779755199	0.263736831184844
ENSG00000141837.19	327.045067573099	-0.22972577328695	0.169933273968568	-1.35185869089677	0.176420524541024	0.40111699153118
ENSG00000141854.9	29.090831439462	0.261835208167586	0.431428320614856	0.606903153215412	0.543915185403445	0.762307789899829
ENSG00000141858.11	324.883120016083	0.0478409707597325	0.173253719047476	0.27613243180438	0.782446351699693	0.905237688069635
ENSG00000141867.17	1537.34643827388	0.414726074971414	0.115554745121068	3.58900081980104	0.000331947797349865	0.00265399638836725
ENSG00000141873.10	321.066063021381	0.0379019277917313	0.150519726619735	0.251807046444381	0.801190210513809	0.914686393795747
ENSG00000141905.18	4307.80275846905	0.134979518250216	0.0864901491945796	1.5606345867961	0.118609993284445	0.307105001952947
ENSG00000141933.9	163.939308886676	0.196312846183489	0.201768630461916	0.972960195715571	0.330573085397189	0.584810062610188
ENSG00000141934.9	61.7417713834497	-0.685663693046542	0.307501495864112	-2.22978978076108	0.0257614021502875	0.0990786723932226
ENSG00000141946.1	1.57337649308241	-0.614237893197127	1.65553914894382	-0.371019853918279	0.71062274415675	NA
ENSG00000141956.13	188.449218579538	-0.342989941935064	0.209540126259097	-1.63686997835897	0.101657640056932	0.276491389725544
ENSG00000141959.16	3205.74649319861	0.0367919499289401	0.151453019277034	0.242926487068845	0.808062346352933	0.919121239118749
ENSG00000141965.4	114.646626533542	0.0309219022415231	0.218704933518201	0.141386395560892	0.887564701078182	0.956621648064041
ENSG00000141968.7	4.41224026838736	0.358171176845816	1.02052237325046	0.350968470887128	0.725612002228086	NA
ENSG00000141971.12	387.152530227359	0.183269201187641	0.128256575888218	1.42892635265243	0.153025402246546	0.364827907279342
ENSG00000141985.9	2063.64012924673	0.265173805952576	0.0812035453953085	3.26554468356865	0.00109253766624597	0.00740783035128041
ENSG00000141994.15	217.782495169116	0.0167530664024348	0.174913410566505	0.0957791992516491	0.923695937988984	0.971963014922195
ENSG00000142002.17	1574.74298302505	0.534373961401302	0.0932372787963164	5.73133373581913	9.96439915544241e-09	2.0921487511565e-07
ENSG00000142039.3	571.801628340366	-0.117574418305731	0.124386967356103	-0.945231006148187	0.344540953090997	0.599108653654523
ENSG00000142046.14	207.128262332456	0.47678684527567	0.193526727189346	2.46367440921575	0.0137520970823568	0.0611716088719188
ENSG00000142065.13	151.398578093564	-0.645796985498751	0.242815314494251	-2.65962213645318	0.00782283609306597	0.0389257624684407
ENSG00000142082.14	323.226846573872	-0.029733666914271	0.138597318292529	-0.214532772210743	0.830131613293523	0.928509197673468
ENSG00000142089.15	9357.15816025235	0.139085615128923	0.0758458841678389	1.83379252091176	0.0666847983635226	0.204153570401608
ENSG00000142102.15	595.401405678057	0.467357009754811	0.131278081618732	3.56005362046764	0.000370779077121639	0.00291981980073106
ENSG00000142149.8	47.2426487338112	-1.33217437254043	0.359968228464065	-3.70081098052636	0.000214911522624115	0.00182369646023932
ENSG00000142156.14	74996.3531122151	-0.103208526662436	0.075144889326063	-1.37346035888883	0.16960927663546	0.390906818421385
ENSG00000142166.12	2203.11793310558	-0.0483880700870565	0.0780754968118296	-0.619760002343335	0.535415805451014	0.756727034494701
ENSG00000142168.14	3129.15097761094	0.0955154098858887	0.0833464578945589	1.14600442896715	0.251793319498621	0.499882478169407
ENSG00000142173.14	87424.2905593656	-0.0865981916691885	0.071879097147322	-1.20477572905094	0.228289892055991	0.4716832292616
ENSG00000142178.8	5.26723408080614	0.0218493211742607	1.72351867260622	0.0126771595350465	0.989885361054112	NA
ENSG00000142186.16	1949.62729124414	0.113028780966592	0.0975701092806411	1.15843655193095	0.246685930000358	0.493844042663715
ENSG00000142188.16	827.809145805507	0.33838361640266	0.166107365743232	2.03713793719257	0.0416362211035777	0.143509891647223
